S.no,BR.,Bus No,Route No.,Place,Type,Arr. Time,Dep. Time,To,From,Via
621,TMG,58N2338,48AD,M,SLF,17,17.12,THIRUMANGALAM,ARA,BYE
622,TMG,58N2338,48AD,M,SLF,19,19.03,THIRUMANGALAM,ARA,BYE
623,TMG,58N2338,48AD,M,SLF,20.5,21.03,THIRUMANGALAM,ARA,BYE
624,TMG,58N2342,48AD,C1,SLF,6.33,6.38,THIRUMANGALAM,ARA,BYE
625,TMG,58N2342,48AD,C1,SLF,8.33,8.38,THIRUMANGALAM,ARA,BYE
626,TMG,58N2342,48AD,C1,SLF,10.23,10.38,THIRUMANGALAM,ARA,BYE
627,TMG,58N2342,48AD,C1,SLF,12.23,12.28,THIRUMANGALAM,ARA,BYE
628,TMG,58N2342,48AD,C1,SLF,14.13,14.28,THIRUMANGALAM,ARA,BYE
629,TMG,58N2342,48AD,C1,SLF,16.13,16.28,THIRUMANGALAM,ARA,BYE
630,TMG,58N2342,48AD,C1,SLF,18.13,18.18,THIRUMANGALAM,ARA,BYE
631,TMG,58N2342,48AD,C1,SLF,20.03,20.18,THIRUMANGALAM,ARA,BYE
632,TMG,58N2342,48AD,C1,SLF,22.03,22.08,THIRUMANGALAM,ARA,BYE
633,TMG,58N2343,48AD,Y,SLF,5.56,6.01,THIRUMANGALAM,ARA,BYE
634,TMG,58N2343,48AD,Y,SLF,7.36,7.51,THIRUMANGALAM,ARA,BYE
635,TMG,58N2343,48AD,Y,SLF,9.36,9.41,THIRUMANGALAM,ARA,BYE
636,TMG,58N2343,48AD,Y,SLF,11.26,11.41,THIRUMANGALAM,ARA,BYE
637,TMG,58N2343,48AD,Y,SLF,13.26,13.31,THIRUMANGALAM,ARA,BYE
638,TMG,58N2343,48AD,Y,SLF,15.16,15.31,THIRUMANGALAM,ARA,BYE
639,TMG,58N2343,48AD,Y,SLF,17.16,17.31,THIRUMANGALAM,ARA,BYE
640,TMG,58N2343,48AD,Y,SLF,19.16,19.21,THIRUMANGALAM,ARA,BYE
641,TMG,58N2343,48AD,Y,SLF,21.06,21.21,THIRUMANGALAM,ARA,BYE
642,BCB,58N2349,48AD,B1,SLF,0,6.03,THIRUMANGALAM,ARA,BYE
643,BCB,58N2349,48AD,B1,SLF,7.36,7.53,THIRUMANGALAM,ARA,BYE
644,BCB,58N2349,48AD,B1,SLF,9.36,9.43,THIRUMANGALAM,ARA,BYE
645,BCB,58N2349,48AD,B1,SLF,11.26,11.43,THIRUMANGALAM,ARA,BYE
646,BCB,58N2349,48AD,B1,SLF,13.26,13.33,THIRUMANGALAM,ARA,BYE
647,BCB,58N2349,48AD,B1,SLF,15.16,15.33,THIRUMANGALAM,ARA,BYE
648,BCB,58N2349,48AD,B1,SLF,17.16,17.33,THIRUMANGALAM,ARA,BYE
649,BCB,58N2349,48AD,B1,SLF,19.16,19.25,THIRUMANGALAM,ARA,BYE
650,BCB,58N2349,48AD,B1,SLF,21.06,21.26,THIRUMANGALAM,ARA,BYE
651,TMG,58N2385,48AD,T,SLF,5.3,5.35,THIRUMANGALAM,ARA,BYE
652,TMG,58N2385,48AD,T,SLF,7.15,7.25,THIRUMANGALAM,ARA,BYE
653,TMG,58N2385,48AD,T,SLF,9.1,9.15,THIRUMANGALAM,ARA,BYE
654,TMG,58N2385,48AD,T,SLF,11,11.15,THIRUMANGALAM,ARA,BYE
655,TMG,58N2385,48AD,T,SLF,13,13.05,THIRUMANGALAM,ARA,BYE
656,TMG,58N2385,48AD,T,SLF,14.5,15,THIRUMANGALAM,ARA,BYE
657,TMG,58N2385,48AD,T,SLF,16.45,16.55,THIRUMANGALAM,ARA,BYE
658,TMG,58N2385,48AD,T,SLF,18.4,18.45,THIRUMANGALAM,ARA,BYE
659,TMG,58N2385,48AD,T,SLF,20.3,20.45,THIRUMANGALAM,ARA,BYE
660,TMG,58N2386,48AD,D,SLF,6.45,6.5,THIRUMANGALAM,ARA,BYE
661,TMG,58N2386,48AD,D,SLF,8.4,8.45,THIRUMANGALAM,ARA,BYE
662,TMG,58N2386,48AD,D,SLF,10.3,10.45,THIRUMANGALAM,ARA,BYE
663,TMG,58N2386,48AD,D,SLF,12.3,12.35,THIRUMANGALAM,ARA,BYE
664,TMG,58N2386,48AD,D,SLF,14.2,14.25,THIRUMANGALAM,ARA,BYE
665,TMG,58N2386,48AD,D,SLF,16.15,16.25,THIRUMANGALAM,ARA,BYE
666,TMG,58N2386,48AD,D,SLF,18.1,18.15,THIRUMANGALAM,ARA,BYE
667,TMG,58N2386,48AD,D,SLF,20,20.15,THIRUMANGALAM,ARA,BYE
668,TMG,58N2386,48AD,D,SLF,22,22.05,THIRUMANGALAM,ARA,BYE
669,CNI,58N1194,40H,B,EXP,7.4,7.55,A.ANDIPATTI,PBS,CHECKANURANI
670,CNI,58N1194,40H,B,EXP,18.25,18.4,A.ANDIPATTI,PBS,CHECKANURANI
671,CNI,58N1227,40H,A,EXP,13.3,13.4,A.ANDIPATTI,PBS,CHECKANURANI
672,ENR,58N1464,55R,A,SLF,0,7.25,AARIYAPATTI,PBS,CHECKANURANI
673,ENR,58N1464,55R,A,SLF,9.45,15,AARIYAPATTI,PBS,CHECKANURANI
674,ENR,58N1353,55G,A,EXP,0,9.2,AMBATAYANPATTI,PBS,CHECKANURANI
675,ENR,58N1353,55G,A,EXP,11.55,16.2,AMBATAYANPATTI,PBS,CHECKANURANI
676,CNI,58N1899,55G,A,EXP,0,6.45,AMBATAYANPATTI,PBS,CHECKANURANI
677,CNI,58N1899,55G,A,EXP,11.4,12,AMBATAYANPATTI,PBS,CHECKANURANI
678,CNI,58N1899,55G,A,EXP,16.3,17.1,AMBATAYANPATTI,PBS,CHECKANURANI
679,CNI,58N1899,55G,A,EXP,19.45,20.05,AMBATAYANPATTI,PBS,CHECKANURANI
680,C7,58N0539,T4C,B,EXP,10.1,11.3,AYYANARKULAM,THIRUMANGALAM,CHECKANURANI
681,T5,58N0698,T4C,A,LSS,15.2,16.3,AYYANARKULAM,THIRUMANGALAM,CHECKANURANI
682,T5,58N1949,27,A,EXP,10.4,11.4,CHECKANURANI,INTEGRATED B.S.,CHECKANURANI
683,C5,58N0810,5J,A,LSS,8.45,9.5,CHECKANURANI,PBS,CHECKANURANI
684,CNI,58N0975,40/,A,ORD,16.35,16.4,CHECKANURANI,PBS,CHECKANURANI
685,CNI,58N1194,40B,B,EXP,13.35,13.4,CHECKANURANI,PBS,CHECKANURANI
686,T5,58N0975,L4/,A,LSS,12.4,13.05,CHECKANURANI,SHOLAVANDAN,CHECKANURANI
687,T5,58N0975,L4/,A,LSS,22.05,22.3,CHECKANURANI,SHOLAVANDAN,CHECKANURANI
688,T5,58N0698,T4/FF,A,LSS,17.5,18.25,CHECKANURANI,THIRUMANGALAM,CHECKANURANI
689,M7,58N1102,U1,A,LSS,8.4,9.25,CHECKANURANI,USILAMPATTI,CHECKANURANI
690,M7,58N1265,U1,C,LSS,14.1,15,CHECKANURANI,USILAMPATTI,CHECKANURANI
691,T5,58N0975,L8C,A,LSS,18.05,18.45,CHECKANURANI,VADIPATTI,CHECKANURANI
692,T5,58N0963,T4D,A,LSS,21.15,21.45,CHECKANURANI,VIKKIRAMANGALAM,CHECKANURANI
693,M7,58N1265,U2L,C,LSS,18.1,18.5,ELUMALAI,USILAMPATTI,CHECKANURANI
694,C5,58N0810,5JJ,A,LSS,9.55,11.2,INTEGRATED B.S.,CHECKANURANI,CHECKANURANI
695,T5,58N1949,27,A,EXP,14,15,INTEGRATED B.S.,CHECKANURANI,CHECKANURANI
696,CNI,58N1948,40E,A,EXP,8.2,11.15,K.KARISALPATTI,PBS,CHECKANURANI
697,CNI,58N1948,40E,A,EXP,13,18.3,K.KARISALPATTI,PBS,CHECKANURANI
698,CNI,58N1005,55K,A,EXP,7.35,8,K.VADUGAPATTI,PBS,CHECKANURANI
699,CNI,58N1005,55K,A,EXP,16.35,16.55,K.VADUGAPATTI,PBS,CHECKANURANI
700,CNI,58N0631,40C,A,EXP,13.15,15.15,KANDAI,PBS,CHECKANURANI
701,CNI,58N0631,40C,A,EXP,19.15,19.45,KANDAI,PBS,CHECKANURANI
702,CNI,58N1899,40C,A,EXP,9.1,9.25,KANDAI,PBS,CHECKANURANI
703,CNI,58N1978,40C,A,EXP,0,8.15,KANDAI,PBS,CHECKANURANI
704,BCB,58N2050,40F,A,EXP,0,6.1,KASPA MUDALAIKULAM,PBS,CHECKANURANI
705,BCB,58N2050,40F,A,EXP,8.25,11.3,KASPA MUDALAIKULAM,PBS,CHECKANURANI
706,BCB,58N2050,40F,A,EXP,13.45,19.05,KASPA MUDALAIKULAM,PBS,CHECKANURANI
707,CNI,58N1837,61A,A,EXP,0,5.55,KEELAPATTI,PBS,CHECKANURANI
708,CNI,58N1837,61A,A,EXP,8.1,8.2,KEELAPATTI,PBS,CHECKANURANI
709,CNI,58N1837,61A,A,EXP,10.45,11.1,KEELAPATTI,PBS,CHECKANURANI
710,CNI,58N1837,61A,A,EXP,13.35,14,KEELAPATTI,PBS,CHECKANURANI
711,CNI,58N1837,61A,A,EXP,16.25,16.3,KEELAPATTI,PBS,CHECKANURANI
712,CNI,58N1837,61A,A,EXP,18.55,19.5,KEELAPATTI,PBS,CHECKANURANI
713,CNI,58N0626,40B,A,EXP,0,6.4,KODIKKULAM,PBS,CHECKANURANI
714,CNI,58N0626,40B,A,EXP,9.15,9.3,KODIKKULAM,PBS,CHECKANURANI
715,CNI,58N0626,40B,A,EXP,12.05,12.1,KODIKKULAM,PBS,CHECKANURANI
716,CNI,58N0626,40B,A,EXP,14.45,15,KODIKKULAM,PBS,CHECKANURANI
717,CNI,58N0626,40B,A,EXP,17.35,17.5,KODIKKULAM,PBS,CHECKANURANI
718,CNI,58N0626,40B,A,EXP,20.25,21,KODIKKULAM,PBS,CHECKANURANI
719,CNI,58N1194,40B,B,EXP,10.45,11,KODIKKULAM,PBS,CHECKANURANI
720,CNI,58N1194,40B,B,EXP,13.4,16,KODIKKULAM,PBS,CHECKANURANI
721,CNI,58N1194,40B,B,EXP,21.35,21.5,KODIKKULAM,PBS,CHECKANURANI
722,TPK,58N1285,40B,D,EXP,0,13.5,KODIKKULAM,PBS,CHECKANURANI
723,TPK,58N1285,40B,D,EXP,16.1,16.3,KODIKKULAM,PBS,CHECKANURANI
724,CNI,58N1114,55N,A,EXP,7.55,8.35,KURAVAKUDI,PBS,CHECKANURANI
725,CNI,58N1114,55N,A,EXP,17.05,17.1,KURAVAKUDI,PBS,CHECKANURANI
726,BCB,58N1977,55N,B,EXP,0,5.2,KURAVAKUDI,PBS,CHECKANURANI
727,T5,58N0698,T4C/,A,LSS,7.3,8.35,KURAVAKUDI,THIRUMANGALAM,CHECKANURANI
728,T5,58N0975,L8A,A,LSS,16.1,16.5,M.K.UNIVERSITY,SHOLAVANDAN,CHECKANURANI
729,T5,58N0975,L8,A,LSS,8.25,9.3,M.K.UNIVERSITY,VADIPATTI,CHECKANURANI
730,CNI,58N1856,64A,A,EXP,6.45,7.3,MAYAKURUMBANPATTI,PBS,CHECKANURANI
731,CNI,58N1856,64A,A,EXP,9.25,9.35,MAYAKURUMBANPATTI,PBS,CHECKANURANI
732,CNI,58N1856,64A,A,EXP,11.25,14.05,MAYAKURUMBANPATTI,PBS,CHECKANURANI
733,CNI,58N1856,64A,A,EXP,16,16.2,MAYAKURUMBANPATTI,PBS,CHECKANURANI
734,CNI,58N1856,64A,A,EXP,18.15,20.1,MAYAKURUMBANPATTI,PBS,CHECKANURANI
735,CNI,58N0990,55CX,A,EXP,0,6.1,MUNDUVELAMPATTI,PBS,CHECKANURANI
736,CNI,58N0990,55C,A,EXP,8.15,8.25,MUNDUVELAMPATTI,PBS,CHECKANURANI
737,CNI,58N0990,55C,A,EXP,10.35,11.35,MUNDUVELAMPATTI,PBS,CHECKANURANI
738,CNI,58N0990,55C,A,EXP,13.45,14.1,MUNDUVELAMPATTI,PBS,CHECKANURANI
739,CNI,58N0990,55C,A,EXP,16.25,16.4,MUNDUVELAMPATTI,PBS,CHECKANURANI
740,CNI,58N0990,55C,A,EXP,19.05,20.15,MUNDUVELAMPATTI,PBS,CHECKANURANI
741,CNI,58N1551,55C,B,EXP,6.35,6.5,MUNDUVELAMPATTI,PBS,CHECKANURANI
742,CNI,58N1551,55C,B,EXP,15.15,15.2,MUNDUVELAMPATTI,PBS,CHECKANURANI
743,CNI,58N1822,61,A,EXP,0,6.55,NADUMUDALAIKULAM,PBS,CHECKANURANI
744,CNI,58N1822,61,A,EXP,9.1,10.1,NADUMUDALAIKULAM,PBS,CHECKANURANI
745,CNI,58N1822,61,A,EXP,12.15,12.3,NADUMUDALAIKULAM,PBS,CHECKANURANI
746,CNI,58N1822,61,A,EXP,14.35,15.1,NADUMUDALAIKULAM,PBS,CHECKANURANI
747,CNI,58N1822,61,A,EXP,17.15,18.25,NADUMUDALAIKULAM,PBS,CHECKANURANI
748,CNI,58N1822,61,A,EXP,20.3,20.55,NADUMUDALAIKULAM,PBS,CHECKANURANI
749,C7,58N0819,T4A,A,LSS,7.45,8.35,NAGAMALAI PUDUK,THIRUMANGALAM,CHECKANURANI
750,CNI,58N1308,55F,A,EXP,0,12.4,NATTAPATTI,PBS,CHECKANURANI
751,CNI,58N1947,55F,A,EXP,7.25,7.45,NATTAPATTI,PBS,CHECKANURANI
752,CNI,58N1947,55F,A,EXP,10.05,10.2,NATTAPATTI,PBS,CHECKANURANI
753,CNI,58N1947,55F,A,EXP,13.1,13.3,NATTAPATTI,PBS,CHECKANURANI
754,CNI,58N1947,55F,A,EXP,15.55,16.2,NATTAPATTI,PBS,CHECKANURANI
755,CNI,58N1947,55F,A,EXP,18.55,19.35,NATTAPATTI,PBS,CHECKANURANI
756,CNI,58N1217,55D,A,EXP,11.35,11.5,NATTARMANGALAM,PBS,CHECKANURANI
757,CNI,58N1217,55D,A,EXP,11.5,15.2,NATTARMANGALAM,PBS,CHECKANURANI
758,CNI,58N1217,55D,A,EXP,20.4,21.05,NATTARMANGALAM,PBS,CHECKANURANI
759,C7,58N0846,T4E,A,LSS,8.4,9.35,OORMECHIKULAM,THIRUMANGALAM,CHECKANURANI
760,C7,58N0846,T4E,A,LSS,13.3,14.25,OORMECHIKULAM,THIRUMANGALAM,CHECKANURANI
761,C7,58N0846,T4E,A,LSS,16,16.55,OORMECHIKULAM,THIRUMANGALAM,CHECKANURANI
762,C7,58N0846,T4E,A,LSS,18.25,19.2,OORMECHIKULAM,THIRUMANGALAM,CHECKANURANI
763,C7,58N1189,T4E,B,LSS,5.35,6.3,OORMECHIKULAM,THIRUMANGALAM,CHECKANURANI
764,CNI,58N1551,64,B,EXP,17.3,19.1,PANNIYAN,PBS,CHECKANURANI
765,CNI,58N1838,64,A,EXP,7,7.2,PANNIYAN,PBS,CHECKANURANI
766,CNI,58N1838,64,A,EXP,9.1,9.25,PANNIYAN,PBS,CHECKANURANI
767,CNI,58N1838,64,A,EXP,11.15,11.35,PANNIYAN,PBS,CHECKANURANI
768,CNI,58N1838,64,A,EXP,13.2,15.05,PANNIYAN,PBS,CHECKANURANI
769,CNI,58N1838,64,A,EXP,17.1,17.15,PANNIYAN,PBS,CHECKANURANI
770,CNI,58N1838,64,A,EXP,19.1,19.3,PANNIYAN,PBS,CHECKANURANI
771,CNI,58N1838,64,A,EXP,21.2,21.3,PANNIYAN,PBS,CHECKANURANI
772,CNI,58N1166,55P,A,EXP,9,9.05,PAPPAPATTI,PBS,CHECKANURANI
773,CNI,58N1166,55P,A,EXP,12.1,13.45,PAPPAPATTI,PBS,CHECKANURANI
774,CNI,58N1166,55P,A,EXP,16.45,17,PAPPAPATTI,PBS,CHECKANURANI
775,CNI,58N1166,55P,A,EXP,20,20.1,PAPPAPATTI,PBS,CHECKANURANI
776,CNI,58N1227,40P,A,EXP,7,7.15,PAPPAPATTI,PBS,CHECKANURANI
777,CNI,58N1227,40P,A,EXP,10.2,10.25,PAPPAPATTI,PBS,CHECKANURANI
778,CNI,58N1227,40P,A,EXP,18.05,18.25,PAPPAPATTI,PBS,CHECKANURANI
779,C7,58N0819,21N,A,LSS,8.4,9.05,PBS,NAGAMALAI PUDUK,CHECKANURANI
780,CNI,58N1005,55H,A,EXP,10.4,10.45,PORUPPU METTUPATTI,PBS,CHECKANURANI
781,CNI,58N1005,55H,A,EXP,13.3,14,PORUPPU METTUPATTI,PBS,CHECKANURANI
782,CNI,58N1005,55H,A,EXP,19.25,19.5,PORUPPU METTUPATTI,PBS,CHECKANURANI
783,PON,58N1639,55H,A,EXP,0,18.4,PORUPPU METTUPATTI,PBS,CHECKANURANI
784,ENR,58N1464,59B,A,SLF,17.25,20.5,SENDHAMANGALAM,PBS,CHECKANURANI
785,T5,58N0975,L8D,A,LSS,18.5,19.2,SHOLAVANDAN,CHECKANURANI,CHECKANURANI
786,T5,58N0975,L8A,A,LSS,9.35,10.15,SHOLAVANDAN,M.K.UNIVERSITY,CHECKANURANI
787,C7,58N0816,L4,A,LSS,5.2,6.15,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
788,C7,58N0816,L4,A,LSS,8.5,9.5,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
789,C7,58N0816,L4,A,LSS,11.15,12.15,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
790,C7,58N0816,L4,A,LSS,13.5,14.5,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
791,C7,58N0816,L4,A,LSS,20,21,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
792,C7,58N0846,L4,A,LSS,6.25,7.2,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
793,C7,58N0846,L4,A,LSS,10.4,11.35,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
794,C7,58N0846,L4,A,LSS,20.3,21.25,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
795,C9,58N0861,L4,C,EXP,6,6.55,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
796,C9,58N0861,L4,C,EXP,12.45,13.45,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
797,C9,58N0861,L4,C,EXP,15.3,16.3,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
798,C9,58N0861,L4,C,EXP,20.5,21.5,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
799,T5,58N0975,L4,A,LSS,6.1,7.05,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
800,T5,58N0975,L4,A,LSS,11.35,12.35,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
801,T5,58N0975,L4,A,LSS,15,16,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
802,T5,58N0975,L4,A,LSS,21.05,22,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
803,C7,58N1189,L4,B,LSS,10.05,11.05,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
804,C7,58N1189,L4,B,LSS,13.1,14.1,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
805,C7,58N1189,L4,B,LSS,15.5,16.5,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
806,C7,58N1189,L4,B,LSS,18,19,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
807,C9,58N1283,L4,A,LSS,7.05,8.05,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
808,C9,58N1283,L4,A,LSS,9.3,10.3,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
809,C9,58N1283,L4,A,LSS,12.05,13.05,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
810,C9,58N1283,L4,A,LSS,14.4,15.4,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
811,C9,58N1283,L4,A,LSS,16.55,17.55,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
812,C9,58N1283,L4,A,LSS,19.05,20.05,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
813,C9,58N1283,L4,A,LSS,21.4,22.35,SHOLAVANDAN,THIRUMANGALAM,CHECKANURANI
814,C7,58N1189,T6S,B,LSS,20.1,21.05,SOLAPURAM,THIRUMANGALAM,CHECKANURANI
815,MCB,58N1426,55B,A,EXP,0,10.4,THIDIYAN,PBS,CHECKANURANI
816,MCB,58N1426,55B,A,EXP,13.05,14.3,THIDIYAN,PBS,CHECKANURANI
817,C7,58N0539,T4C,B,EXP,11.35,12.55,THIRUMANGALAM,AYYANARKULAM,CHECKANURANI
818,T5,58N0698,T4C,A,LSS,13.55,15.05,THIRUMANGALAM,AYYANARKULAM,CHECKANURANI
819,T5,58N0698,T4C,A,LSS,16.35,17.45,THIRUMANGALAM,AYYANARKULAM,CHECKANURANI
820,T5,58N0698,T4/FF,A,LSS,18.3,19.05,THIRUMANGALAM,CHECKANURANI,CHECKANURANI
821,T5,58N0975,L4/,A,LSS,5.4,6.05,THIRUMANGALAM,CHECKANURANI,CHECKANURANI
822,T5,58N0698,T4C/,A,LSS,8.5,10.05,THIRUMANGALAM,KURAVAKUDI,CHECKANURANI
823,C7,58N0819,T4A,A,LSS,16.05,16.55,THIRUMANGALAM,NAGAMALAI PUDUK,CHECKANURANI
824,C7,58N0846,T4E,A,LSS,9.4,10.35,THIRUMANGALAM,OORMECHIKULAM,CHECKANURANI
825,C7,58N0846,T4E,A,LSS,14.4,15.35,THIRUMANGALAM,OORMECHIKULAM,CHECKANURANI
826,C7,58N0846,T4E,A,LSS,17.15,18.1,THIRUMANGALAM,OORMECHIKULAM,CHECKANURANI
827,C7,58N0846,T4E,A,LSS,19.25,20.2,THIRUMANGALAM,OORMECHIKULAM,CHECKANURANI
828,C7,58N1189,T4E,B,LSS,6.45,7.4,THIRUMANGALAM,OORMECHIKULAM,CHECKANURANI
829,TMG,58N1510,40T,A,SLF,10.15,17,THIRUMANGALAM,PBS,CHECKANURANI
830,C7,58N0816,L4,A,LSS,6.2,7.15,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
831,C7,58N0816,L4,A,LSS,10,11,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
832,C7,58N0816,L4,A,LSS,12.3,13.3,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
833,C7,58N0816,L4,A,LSS,15,16,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
834,C7,58N0816,L4,A,LSS,21.05,22.05,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
835,C7,58N0846,L4,A,LSS,7.25,8.25,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
836,C7,58N0846,L4,A,LSS,11.5,12.45,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
837,C7,58N0846,L4,A,LSS,21.3,22.2,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
838,C9,58N0861,L4,C,EXP,5,5.55,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
839,C9,58N0861,L4,C,EXP,14.25,15.25,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
840,T5,58N0975,L4,A,LSS,10.2,11.2,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
841,T5,58N0975,L4,A,LSS,19.5,20.5,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
842,C7,58N1189,L4,B,LSS,11.2,12.2,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
843,C7,58N1189,L4,B,LSS,14.15,15.15,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
844,C7,58N1189,L4,B,LSS,16.55,17.55,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
845,C7,58N1189,L4,B,LSS,19.05,20.05,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
846,C9,58N1283,L4,A,LSS,5.55,6.5,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
847,C9,58N1283,L4,A,LSS,8.1,9.1,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
848,C9,58N1283,L4,A,LSS,11,12,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
849,C9,58N1283,L4,A,LSS,13.2,14.2,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
850,C9,58N1283,L4,A,LSS,15.45,16.45,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
851,C9,58N1283,L4,A,LSS,18,19,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
852,C9,58N1283,L4,A,LSS,20.35,21.35,THIRUMANGALAM,SHOLAVANDAN,CHECKANURANI
853,C7,58N1189,T6S,B,LSS,21.15,22.1,THIRUMANGALAM,SOLAPURAM,CHECKANURANI
854,C9,58N0861,L4V,C,EXP,11.15,12.3,THIRUMANGALAM,VADIPATTI,CHECKANURANI
855,C9,58N0861,L4V,C,EXP,19.1,20.3,THIRUMANGALAM,VADIPATTI,CHECKANURANI
856,T5,58N0963,T4D,A,LSS,7.4,8.5,THIRUMANGALAM,VIKKIRAMANGALAM,CHECKANURANI
857,T5,58N0963,T4D,A,LSS,10.35,11.45,THIRUMANGALAM,VIKKIRAMANGALAM,CHECKANURANI
858,T5,58N0963,T4D,A,LSS,13.15,14.25,THIRUMANGALAM,VIKKIRAMANGALAM,CHECKANURANI
859,T5,58N0963,T4D,A,LSS,16,17.1,THIRUMANGALAM,VIKKIRAMANGALAM,CHECKANURANI
860,T5,58N0963,T4D,A,LSS,18.3,19.4,THIRUMANGALAM,VIKKIRAMANGALAM,CHECKANURANI
861,CNI,58N1183,55A,A,EXP,8.05,8.1,UCHAPATTI ALAGA.NGR,PBS,CHECKANURANI
862,CNI,58N1183,55A,A,EXP,10.45,11.05,UCHAPATTI ALAGA.NGR,PBS,CHECKANURANI
863,CNI,58N1183,55A,A,EXP,13.45,13.5,UCHAPATTI ALAGA.NGR,PBS,CHECKANURANI
864,CNI,58N1183,55A,A,EXP,16.15,16.35,UCHAPATTI ALAGA.NGR,PBS,CHECKANURANI
865,CNI,58N1183,55A,A,EXP,19,19.15,UCHAPATTI ALAGA.NGR,PBS,CHECKANURANI
866,ENR,58N2200,55A,A,EXP,0,15.4,UCHAPATTI ALAGA.NGR,PBS,CHECKANURANI
867,M7,58N1102,U1,A,LSS,9.3,10.15,USILAMPATTI,CHECKANURANI,CHECKANURANI
868,M7,58N1265,U1,C,LSS,15.05,15.55,USILAMPATTI,CHECKANURANI,CHECKANURANI
869,M7,58N1265,U2L,C,LSS,19,19.5,USILAMPATTI,ELUMALAI,CHECKANURANI
870,USI,58N1528,55U,C,SLF,5.55,6,USILAMPATTI,PBS,CHECKANURANI
871,USI,58N1528,55U,C,SLF,8.35,8.4,USILAMPATTI,PBS,CHECKANURANI
872,USI,58N1528,55U,C,SLF,11.35,11.45,USILAMPATTI,PBS,CHECKANURANI
873,USI,58N1528,55U,C,SLF,14.3,14.35,USILAMPATTI,PBS,CHECKANURANI
874,USI,58N1528,55U,C,SLF,17.1,17.2,USILAMPATTI,PBS,CHECKANURANI
875,USI,58N1528,55U,C,SLF,20,20.2,USILAMPATTI,PBS,CHECKANURANI
876,USI,58N1567,55U,A,SLF,7.1,7.15,USILAMPATTI,PBS,CHECKANURANI
877,USI,58N1567,55U,A,SLF,10,10.2,USILAMPATTI,PBS,CHECKANURANI
878,USI,58N1567,55U,A,SLF,13,13.05,USILAMPATTI,PBS,CHECKANURANI
879,USI,58N1567,55U,A,SLF,15.5,16.05,USILAMPATTI,PBS,CHECKANURANI
880,USI,58N1567,55U,A,SLF,18.4,19,USILAMPATTI,PBS,CHECKANURANI
881,USI,58N1567,55U,A,SLF,21.4,21.45,USILAMPATTI,PBS,CHECKANURANI
882,USI,58N1584,55U,D,SLF,6.35,6.4,USILAMPATTI,PBS,CHECKANURANI
883,USI,58N1584,55U,D,SLF,9.15,9.3,USILAMPATTI,PBS,CHECKANURANI
